Resight ID,Rankings,Name,Position,Location,Organisation,Bio,Sophistication score,S Tech and data,S Pricing,S Talent development,Experience score,numberOfReferences,E Service,E Expertise,E Commerciality,E Communication,E EQ,E Strategy,E Network,E Leadership,CaseTitle1,CaseSlug1,CaseTitle2,CaseSlug2,CaseTitle3,CaseSlug3
IND07512,Arbitration,Manoj K Singh,Founding Partner,Delhi,S&A Law Offices,Placeholder text for bio. Full bio will go here.,7.1,7.3,-,-,6.1,1,8,6,6,8,8,6,6,6,-,-,-,-,-,-
IND01508,Arbitration,Naresh Thacker,Counsel,Mumbai,Chambers of Naresh Thacker,Placeholder text for bio. Full bio will go here.,5.9,5.3,7,6,8.3,1,10,8,10,10,10,10,10,10,-,-,-,-,-,-
IND00761,Arbitration,Nitesh Jain,Partner,Mumbai,Trilegal,Placeholder text for bio. Full bio will go here.,7.3,7.3,4,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND00663,Arbitration,Priyanka Shetty,Partner,Mumbai,AZB & Partners,Placeholder text for bio. Full bio will go here.,7.7,7.3,6,9,9.2,2,10,9,9,10,10,10,9,10,-,-,-,-,-,-
IND00589,Arbitration,Rajendra Barot,Senior Partner,Mumbai,AZB & Partners,Placeholder text for bio. Full bio will go here.,6,6,4,7,10,3,10,10,10,10,10,10,10,10,-,-,-,-,-,-
IND00929,Arbitration,Sameer Tapia,Founder & Senior Partner,Mumbai,ALMT Legal,Placeholder text for bio. Full bio will go here.,5.1,4.7,6,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND00197,Arbitration,Sanjeev K Kapoor,Partner,Delhi,Khaitan & Co,Placeholder text for bio. Full bio will go here.,7.4,8,7,-,8.5,1,10,10,10,10,10,10,10,10,-,-,-,-,-,-
IND00386,Arbitration,Shaneen Parikh,Partner (Head - International Arbitration),Mumbai,Cyril Amarchand Mangaldas,Placeholder text for bio. Full bio will go here.,6.1,5.3,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND00788,Arbitration,Shankh Sengupta,Partner,Delhi,Trilegal,Placeholder text for bio. Full bio will go here.,7.4,8,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND00540,Arbitration,Smarika Singh,Partner,Delhi,Shardul Amarchand Mangaldas & Co,Placeholder text for bio. Full bio will go here.,7.1,6.7,6,8,8.1,1,10,10,8,10,8,10,10,10,-,-,-,-,-,-
IND01048,Arbitration,Sneha Jaisingh,Partner,Mumbai,Bharucha & Partners,Placeholder text for bio. Full bio will go here.,7.7,6.7,9,8,10,3,10,10,10,10,10,10,10,10,-,-,-,-,-,-
IND07574,Arbitration,Sooraj Sharma,,Delhi,Clavius Legal,Placeholder text for bio. Full bio will go here.,6.8,6.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND02569,Arbitration,Suvigya Awasthy,Partner,Delhi,PSL Advocates & Solicitors,Placeholder text for bio. Full bio will go here.,7.7,7.3,8,8,7,1,8,8,8,8,8,8,8,8,-,-,-,-,-,-
IND00801,Arbitration,Tine Abraham,Partner,Delhi,Trilegal,Placeholder text for bio. Full bio will go here.,7.5,8.7,6,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND00602,Arbitration,Vijayendra Pratap Singh,Senior Partner,Delhi,AZB & Partners,Placeholder text for bio. Full bio will go here.,7.7,7.3,8,8,8.1,1,10,10,10,8,10,10,8,10,-,-,-,-,-,-
IND02504,Arbitration,Vyapak Desai,Counsel,Mumbai,Vyapak Desai Law Chambers,Placeholder text for bio. Full bio will go here.,7.3,7.3,8,7,9.3,2,10,10,10,10,9,9,10,10,-,-,-,-,-,-
IND02631,Arbitration; Infrastructure,Gunita Pahwa,Joint Managing Partner,Gurugram,S&A Law Offices,Placeholder text for bio. Full bio will go here.,6,6,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND02534,Capital Markets - Debt,Aditya Bhargava,Partner,Mumbai,Trilegal,Placeholder text for bio. Full bio will go here.,8.5,9.3,6,9,9.8,6,9.6,9.6,10,9.6,9.6,10,10,9.6,-,-,-,-,-,-
IND00120,Capital Markets - Debt,Manisha Shroff,Partner,Mumbai,Khaitan & Co,Placeholder text for bio. Full bio will go here.,7.1,7.3,-,-,9.4,3,8.6,9.4,9.4,10,10,8.6,8.6,9.4,-,-,-,-,-,-
IND07528,Capital Markets - Debt,Niloufer Lam,Founding Partner,Mumbai,NL LEGAL,Placeholder text for bio. Full bio will go here.,4.5,2.7,5,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND02940,Capital Markets - Debt,Priyanka Kumar,Partner,Mumbai,TT&A,Placeholder text for bio. Full bio will go here.,5.9,4.7,6,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND02962,Capital Markets - Debt,Rahul Gulati,Partner,Mumbai,TT&A,Placeholder text for bio. Full bio will go here.,5.9,4.7,6,7,8.5,1,10,10,10,10,10,10,10,10,-,-,-,-,-,-
IND02750,Capital Markets - Debt,Satadru Goswami,Partner,Mumbai,Saraf and Partners,Placeholder text for bio. Full bio will go here.,7.5,7.3,7,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND00536,Capital Markets - Debt,Shubhangi Garg,Partner,Delhi,Shardul Amarchand Mangaldas & Co,Placeholder text for bio. Full bio will go here.,8.1,8.7,7,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND02109,Capital Markets - Debt,Uttara M. Kolhatkar,Partner,Mumbai,JSA Advocates & Solicitors,Placeholder text for bio. Full bio will go here.,5.3,4.7,5,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND00398,Capital Markets - Debt; Infrastructure; Private Capital,Subhalakshmi Naskar,Partner,Mumbai,Cyril Amarchand Mangaldas,Placeholder text for bio. Full bio will go here.,7.9,7.3,7,9,8.3,1,10,10,10,10,10,8,10,10,-,-,-,-,-,-
IND04763,Capital Markets - Debt; Private Capital,Pranav Sharma,Partner,Mumbai,Cyril Amarchand Mangaldas,Placeholder text for bio. Full bio will go here.,6,6,8,5,8.7,2,9,10,10,10,8,10,7,7,-,-,-,-,-,-
IND06252,Capital Markets - Equity,Aashima Johur,Partner,Delhi,Cyril Amarchand Mangaldas,Placeholder text for bio. Full bio will go here.,7.7,7.3,8,8,8.5,1,10,10,10,10,10,10,10,10,-,-,-,-,-,-
IND00004,Capital Markets - Equity,Aayush Mohata,Partner,Mumbai,Khaitan & Co,Placeholder text for bio. Full bio will go here.,8.3,8.7,8,8,8.3,1,10,10,10,10,10,8,10,10,-,-,-,-,-,-
IND00005,Capital Markets - Equity,Abhimanyu Bhattacharya,Partner,Mumbai,Khaitan & Co,Placeholder text for bio. Full bio will go here.,7.5,7.3,7,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND00271,Capital Markets - Equity,Abhinav Kumar,Partner,Mumbai,TT&A,Placeholder text for bio. Full bio will go here.,6.1,5.3,6,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND03708,Capital Markets - Equity,Abhinav Maker,Partner,Delhi,Trilegal,Placeholder text for bio. Full bio will go here.,7.4,8,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND00406,Capital Markets - Equity,Abhiroop Datta,Partner,Delhi,Shardul Amarchand Mangaldas & Co,Placeholder text for bio. Full bio will go here.,7.6,8,6,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND01705,Capital Markets - Equity,Abhiroop Lahiri,Partner,Delhi,Cyril Amarchand Mangaldas,Placeholder text for bio. Full bio will go here.,6.7,6.7,6,7,8.5,1,10,10,10,10,10,10,10,10,-,-,-,-,-,-
IND00016,Capital Markets - Equity,Aditya George Cheriyan,Partner,Mumbai,Khaitan & Co,Placeholder text for bio. Full bio will go here.,8.6,8,7,10,7.8,1,10,10,8,10,6,8,10,10,-,-,-,-,-,-
IND00698,Capital Markets - Equity,Albin Thomas,Partner,Mumbai,Trilegal,Placeholder text for bio. Full bio will go here.,7.1,8.7,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND01915,Capital Markets - Equity,Arka Mookerjee,Partner,Mumbai,JSA Advocates & Solicitors,Placeholder text for bio. Full bio will go here.,6.2,4,7,8,7.9,1,10,10,10,8,10,8,8,10,-,-,-,-,-,-
IND00715,Capital Markets - Equity,Bhakta Patnaik,Partner,Mumbai,Trilegal,Placeholder text for bio. Full bio will go here.,7.7,7.3,6,9,8.5,1,10,10,10,10,10,10,10,10,-,-,-,-,-,-
IND00716,Capital Markets - Equity,Brajendu Bhaskar,Partner,Mumbai,Trilegal,Placeholder text for bio. Full bio will go here.,6.9,7.3,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND00090,Capital Markets - Equity,Gautham Srinivas,Partner,Delhi,Khaitan & Co,Placeholder text for bio. Full bio will go here.,6.7,-,-,-,8.5,1,10,10,10,10,10,10,10,10,-,-,-,-,-,-
IND00323,Capital Markets - Equity,Gokul Rajan,Partner - Regional Head Markets Practice (North),Delhi,Cyril Amarchand Mangaldas,Placeholder text for bio. Full bio will go here.,6.4,6,6,7,9.5,2,10,10,10,10,10,10,10,10,-,-,-,-,-,-
IND02635,Capital Markets - Equity,Jabarati Chandra,Partner,Mumbai,S&R Associates,Placeholder text for bio. Full bio will go here.,7.5,7.3,7,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND02649,Capital Markets - Equity,Jitesh Shahani,Partner,Mumbai,S&R Associates,Placeholder text for bio. Full bio will go here.,7.1,7.3,5,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND02650,Capital Markets - Equity,Juhi Singh,Partner,Delhi,S&R Associates,Placeholder text for bio. Full bio will go here.,7.3,7.3,6,8,8.5,1,10,10,10,10,10,10,10,10,-,-,-,-,-,-
IND00579,Capital Markets - Equity,Lionel D'Almeida,Senior Partner,Mumbai,AZB & Partners,Placeholder text for bio. Full bio will go here.,6.9,6.7,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND01975,Capital Markets - Equity,Madhurima Mukherjee (Saha),Partner,Delhi,JSA Advocates & Solicitors,Placeholder text for bio. Full bio will go here.,5.6,4,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND01732,Capital Markets - Equity,Manan Lahoty,Partner,Mumbai,Cyril Amarchand Mangaldas,Placeholder text for bio. Full bio will go here.,7.2,6,8,8,8.5,1,10,10,10,10,10,10,10,10,-,-,-,-,-,-
IND00494,Capital Markets - Equity,Nikhil Naredi,Partner,Mumbai,Shardul Amarchand Mangaldas & Co,Placeholder text for bio. Full bio will go here.,6.5,6.7,7,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND00140,Capital Markets - Equity,Oishik Bagchi,Partner,Mumbai,Khaitan & Co,Placeholder text for bio. Full bio will go here.,7.5,7.3,7,8,9.4,3,9.4,9.4,9.4,9.4,9.4,8.6,9.4,9.4,-,-,-,-,-,-
IND02009,Capital Markets - Equity,Pracheta Bhattacharya,Partner,Mumbai,JSA Advocates & Solicitors,Placeholder text for bio. Full bio will go here.,6.3,5.3,-,-,7.2,1,8,10,8,8,8,8,8,8,-,-,-,-,-,-
IND07590,Capital Markets - Equity,Prashaant Vikram Rajput,Partner,Mumbai,Economic Laws Practice,Placeholder text for bio. Full bio will go here.,6.7,-,-,-,7,1,8,8,8,8,8,8,8,8,-,-,-,-,-,-
IND00502,Capital Markets - Equity,Prashant Gupta,National Practice Head  of Capital Markets,Delhi,Shardul Amarchand Mangaldas & Co,Placeholder text for bio. Full bio will go here.,8.7,7.3,9,10,10,4,10,10,10,10,10,10,10,10,-,-,-,-,-,-
IND01744,Capital Markets - Equity,Priyadarshini Rao,Partner,Mumbai,Cyril Amarchand Mangaldas,Placeholder text for bio. Full bio will go here.,6.7,6.7,8,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND01752,Capital Markets - Equity,Ravi Dubey,Partner,Mumbai,Cyril Amarchand Mangaldas,Placeholder text for bio. Full bio will go here.,6.5,6.7,5,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND00371,Capital Markets - Equity,Reuben Chacko,Partner  - Regional Co-head Markets Practice (South),Bengaluru,Cyril Amarchand Mangaldas,Placeholder text for bio. Full bio will go here.,7.6,8.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND00777,Capital Markets - Equity,Richa Choudhary,Partner,Mumbai,Trilegal,Placeholder text for bio. Full bio will go here.,8.3,8.7,6,9,8.8,2,10,9,9,9,8,9,9,9,-,-,-,-,-,-
IND02634,Capital Markets - Equity,Sandip Bhagat,Partner,Mumbai,S&R Associates,Placeholder text for bio. Full bio will go here.,7.3,6.7,7,8,8.5,1,10,10,10,10,10,10,10,10,-,-,-,-,-,-
IND00229,Capital Markets - Equity,Sudhir Bassi,Executive Director,Mumbai,Khaitan & Co,Placeholder text for bio. Full bio will go here.,7.3,7.3,8,7,8.5,1,10,10,10,10,10,10,10,10,-,-,-,-,-,-
IND00245,Capital Markets - Equity,Thomas George,Partner,Bengaluru,Khaitan & Co,Placeholder text for bio. Full bio will go here.,7.1,7.3,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND00601,Capital Markets - Equity,Varoon Chandra,Senior Partner,Mumbai,AZB & Partners,Placeholder text for bio. Full bio will go here.,6.6,6,-,-,9.5,2,10,10,10,10,10,10,10,10,-,-,-,-,-,-
IND00552,Capital Markets - Equity,Veena Sivaramakrishnan,Partner,Mumbai,Shardul Amarchand Mangaldas & Co,Placeholder text for bio. Full bio will go here.,6.7,6.7,8,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND03138,Capital Markets - Equity,Vijay Parthasarathi,Partner  & Regional Co-Head of Markets,Bengaluru,Trilegal,Placeholder text for bio. Full bio will go here.,6.9,7.3,6,7,7.9,1,10,10,10,10,10,8,8,8,-,-,-,-,-,-
IND03141,Capital Markets - Equity,Vinay Sirohia,Partner,Bengaluru,Trilegal,Placeholder text for bio. Full bio will go here.,7.1,6.7,6,8,8.5,1,10,10,10,10,10,10,10,10,-,-,-,-,-,-
IND01774,Capital Markets - Equity,Vishal Yaduvanshi,Co-Head of Capital Markets Practice (North),Delhi,Cyril Amarchand Mangaldas,Placeholder text for bio. Full bio will go here.,5.3,6.7,5,4,7.9,1,10,8,10,10,10,8,8,10,-,-,-,-,-,-
IND01046,Capital Markets - Equity,Vishnu Dutt U,Partner,Mumbai,Bharucha & Partners,Placeholder text for bio. Full bio will go here.,6.6,6,5,8,9.5,2,10,10,10,10,10,10,10,10,-,-,-,-,-,-
IND03123,Capital Markets - Equity,Yash J. Ashar,Partner & Head of Capital Markets,Mumbai,Cyril Amarchand Mangaldas,Placeholder text for bio. Full bio will go here.,6.5,7.3,8,5,9.7,3,10,10,9.4,9.4,9.4,10,9.4,9.4,-,-,-,-,-,-
IND02647,Capital Markets - Equity; Infrastructure,Pratichi Mishra,Partner,Mumbai,S&R Associates,Placeholder text for bio. Full bio will go here.,7.5,7.3,7,8,7.6,1,10,10,8,8,8,8,10,8,-,-,-,-,-,-
IND01474,Competition,Abhay Joshi,Partner,Delhi,Economic Laws Practice,Placeholder text for bio. Full bio will go here.,5.5,5.3,5,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND07656,Competition,Abir Roy,Co-founder & Partner,Delhi,Sarvada Legal,Placeholder text for bio. Full bio will go here.,6.6,6,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND02656,Competition,Akshat Kulshrestha,Partner,Delhi,S&R Associates,Placeholder text for bio. Full bio will go here.,6.7,6.7,8,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND00033,Competition,Anisha Chand,Partner,Mumbai,Khaitan & Co,Placeholder text for bio. Full bio will go here.,8.1,6.7,9,9,8.3,1,10,10,10,8,10,10,10,10,-,-,-,-,-,-
IND00038,Competition,Anshuman Sakle,Partner,Mumbai,Khaitan & Co,Placeholder text for bio. Full bio will go here.,6.9,6.7,7,7,8.5,1,10,10,10,10,10,10,10,10,-,-,-,-,-,-
IND00428,Competition,Aparna Mehra,Partner,Delhi,Trilegal,Placeholder text for bio. Full bio will go here.,6.5,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND00301,Competition,Avaantika Kakkar,Partner (Head - Competition Law),Mumbai,Cyril Amarchand Mangaldas,Placeholder text for bio. Full bio will go here.,7.2,6,8,8,9.1,2,10,10,10,9,10,10,8,9,-,-,-,-,-,-
IND01150,Competition,Avinash Amarnath,Partner & Head of Competition and Disputes,Hyderabad,Chandhiok & Mahajan,Placeholder text for bio. Full bio will go here.,7.1,6.7,6,8,8.1,1,10,10,10,10,10,8,8,10,-,-,-,-,-,-
IND00628,Competition,Bharat Budholia,Partner,Mumbai,AZB & Partners,Placeholder text for bio. Full bio will go here.,6.1,9.6,5,6,7.9,1,10,10,8,10,10,8,8,10,-,-,-,-,-,-
IND01161,Competition,Deeksha Manchanda,Partner - Competition and Data Privacy,Delhi,Chandhiok & Mahajan,Placeholder text for bio. Full bio will go here.,7.5,7.3,7,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND00314,Competition,Dhruv Rajain,Partner,Delhi,Cyril Amarchand Mangaldas,Placeholder text for bio. Full bio will go here.,6.7,6.7,8,6,7.4,1,10,8,8,10,8,8,8,8,-,-,-,-,-,-
IND01943,Competition,Ela Bali,Partner,Delhi,JSA Advocates & Solicitors,Placeholder text for bio. Full bio will go here.,6.1,5.3,6,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND02909,Competition,Gaurav Desai,Partner,Delhi,Touchstone Partners,Placeholder text for bio. Full bio will go here.,6.7,6.7,6,-,8.1,1,10,10,8,10,10,8,10,10,-,-,-,-,-,-
IND00451,Competition,Gauri Chhabra,Partner,Mumbai,Trilegal,Placeholder text for bio. Full bio will go here.,8.5,8.7,7,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND00726,Competition,Gautam Chawla,Partner,Delhi,Trilegal,Placeholder text for bio. Full bio will go here.,7.1,7.3,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND00454,Competition,Harman Singh Sandhu,Partner,Delhi,Shardul Amarchand Mangaldas & Co,Placeholder text for bio. Full bio will go here.,7.9,-,-,10,7.6,1,10,10,8,8,10,8,8,8,-,-,-,-,-,-
IND00639,Competition,Hemangini Dadwal,Partner,Delhi,AZB & Partners,Placeholder text for bio. Full bio will go here.,6.9,6.7,7,-,8.5,1,10,10,10,10,10,10,10,10,-,-,-,-,-,-
IND01160,Competition,Karan Chandhiok,Partner & Head of Competition and Disputes,Delhi,Chandhiok & Mahajan,Placeholder text for bio. Full bio will go here.,7.6,8,8,7,9.5,2,10,10,10,10,10,10,10,10,-,-,-,-,-,-
IND04713,Competition,Kirthi Srinivas,Partner,Mumbai,AZB & Partners,Placeholder text for bio. Full bio will go here.,6.5,6.7,7,6,8.5,1,10,10,10,10,10,10,10,10,-,-,-,-,-,-
IND00118,Competition,Manas Kumar Chaudhuri,Partner,Delhi,Khaitan & Co,Placeholder text for bio. Full bio will go here.,7.7,6.7,7,9,8.5,1,10,10,10,10,10,10,10,10,-,-,-,-,-,-
IND00490,Competition,Naval Satarawala Chopra,Partner,Delhi,Shardul Amarchand Mangaldas & Co,Placeholder text for bio. Full bio will go here.,8.3,9.3,7,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND02231,Competition,Neelambera Sandeepan,Partner,Delhi,Lakshmikumaran & Sridharan,Placeholder text for bio. Full bio will go here.,6.3,4.7,6,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND00759,Competition,Nisha Kaur Uberoi,Partner,Mumbai,JSA Advocates & Solicitors,Placeholder text for bio. Full bio will go here.,5.7,3.3,6,8,8.1,1,10,10,8,10,10,10,10,8,-,-,-,-,-,-
IND00153,Competition,Pranjal Prateek,Partner,Delhi,Khaitan & Co,Placeholder text for bio. Full bio will go here.,7.9,8.7,6,8,8.5,1,10,10,10,10,10,10,10,10,-,-,-,-,-,-
IND00966,Competition,Rahul Goel,Partner,Delhi,AnantLaw,Placeholder text for bio. Full bio will go here.,6.5,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND01031,Competition,Rahul Rai,Partner,Delhi,Axiom 5,Placeholder text for bio. Full bio will go here.,7.6,8,8,7,9.8,5,10,10,9.6,9.6,9.6,9.6,9.6,9.6,-,-,-,-,-,-
IND00590,Competition,Ram Kumar Poornachandran,Senior Partner,Delhi,AZB & Partners,Placeholder text for bio. Full bio will go here.,7.7,6.7,5,10,8.8,2,9,9,9,9,9,9,9,9,-,-,-,-,-,-
IND01516,Competition,Ravisekhar Nair,Partner,Bengaluru,Economic Laws Practice,Placeholder text for bio. Full bio will go here.,6.5,4.7,7,8,8.5,1,10,10,10,10,10,10,10,10,-,-,-,-,-,-
IND00511,Competition,Rohan Arora,Partner,Delhi,Shardul Amarchand Mangaldas & Co,Placeholder text for bio. Full bio will go here.,6.5,7.3,6,6,8.3,1,10,10,8,10,10,10,10,10,-,-,-,-,-,-
IND00780,Competition,Rudresh Singh,Partner,Delhi,Trilegal,Placeholder text for bio. Full bio will go here.,6.3,5.3,5,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND01030,Competition,Samir R Gandhi,Partner,Delhi,Axiom5,Placeholder text for bio. Full bio will go here.,8.4,8,8,9,9.8,4,10,10,10,10,10,10,7.6,10,-,-,-,-,-,-
IND00537,Competition,Shweta Shroff Chopra,Partner,Delhi,Shardul Amarchand Mangaldas & Co,Placeholder text for bio. Full bio will go here.,8.7,8.7,8,9,7.9,1,10,10,10,10,10,8,8,8,-,-,-,-,-,-
IND02652,Competition,Simran Dhir,Head Of Competition Law Practice,Delhi,S&R Associates,Placeholder text for bio. Full bio will go here.,6.5,5.3,6,8,7.9,1,10,10,8,10,8,8,10,10,-,-,-,-,-,-
IND02948,Competition,Sonam Mathur,Partner,Delhi,TT&A,Placeholder text for bio. Full bio will go here.,5.9,5.3,5,-,9.3,2,10,10,9,10,10,9,10,10,-,-,-,-,-,-
IND01772,Competition,Unnati Agrawal,Partner,Delhi,CMS INDUSLAW,Placeholder text for bio. Full bio will go here.,5.9,4.7,8,6,8.5,1,10,10,10,10,10,10,10,10,-,-,-,-,-,-
IND02110,Competition,Vaibhav Choukse,Partner,Delhi,JSA Advocates & Solicitors,Placeholder text for bio. Full bio will go here.,5.5,4.7,6,6,9.8,3,10,9.4,10,9.4,9.4,9.4,10,10,-,-,-,-,-,-
IND03139,Competition,Vijay Pratap Singh Chauhan,Partner,Delhi,Cyril Amarchand Mangaldas,Placeholder text for bio. Full bio will go here.,6.4,6,8,6,8.3,1,10,10,10,10,10,10,8,10,-,-,-,-,-,-
IND00553,Competition,Yaman Verma,Partner,Delhi,Shardul Amarchand Mangaldas & Co,Placeholder text for bio. Full bio will go here.,7.1,7.3,7,-,8.3,1,10,10,8,10,10,10,10,10,-,-,-,-,-,-
IND00968,Competition; International Trade,Anu Monga,Partner,Delhi,AnantLaw,Placeholder text for bio. Full bio will go here.,5.4,4,7,6,9,2,9,10,10,10,9,9,9,9,-,-,-,-,-,-
IND01511,Competition; International Trade,Parthsarathi Jha,Partner,Delhi,Economic Laws Practice,Placeholder text for bio. Full bio will go here.,6.3,5.3,7,7,7.9,1,8,10,8,10,8,10,10,10,-,-,-,-,-,-
IND05097,Cyber,Aadya Misra,Counsel,Bengaluru,Spice Route Legal,Placeholder text for bio. Full bio will go here.,5.7,3.3,6,8,9.8,4,10,9.6,10,9.6,10,9.6,9.6,9.6,-,-,-,-,-,-
IND04874,Cyber,Akash Karmakar,Partner,Delhi,Panag & Babu,Placeholder text for bio. Full bio will go here.,5,6,5,4,9.3,2,10,10,10,10,10,10,8,10,-,-,-,-,-,-
IND00291,Cyber,Anirban Mohapatra,Partner,Bengaluru,Cyril Amarchand Mangaldas,Placeholder text for bio. Full bio will go here.,7.4,8,7,7,9,2,10,9,10,9,10,8,10,9,-,-,-,-,-,-
IND00298,Cyber,Arun Prabhu,Partner (Head - Technology & Telecommunications),Bengaluru,Cyril Amarchand Mangaldas,Placeholder text for bio. Full bio will go here.,6.8,8,10,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND00095,Cyber,Harsh Walia,Partner,Delhi,Khaitan & Co,Placeholder text for bio. Full bio will go here.,6.7,7.3,7,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
