Resight ID,Rankings,Name,Position,Location,Organisation,Bio,Sophistication score,S Tech and data,S Pricing,S Talent development,Experience score,numberOfReferences,E Service,E Expertise,E Commerciality,E Communication,E EQ,E Strategy,E Network,E Leadership,CaseTitle1,CaseSlug1,CaseTitle2,CaseSlug2,CaseTitle3,CaseSlug3
IND00112,Arbitration,Kingshuk Banerjee,Partner,Mumbai,Khaitan & Co,"Kingshuk Banerjee concentrates almost exclusively on arbitration, with 90% of his billable work in the practice. His focus is M&A and shareholder disputes, cross-border private equity investment claims, and a small number of construction, maritime, and defence matters. His RISE instructions score reflects high volume and legal complexity, with a client base that includes a major mining company, Tarini Prasad Mohanty, and Maxis Communications Berhad. His RISE reputation score is built through consistent directory recognition and a strong social media presence rather than purely through peer citation. He handles advocacy in-house rather than briefing external senior counsel, giving clients continuity between strategy and courtroom presentation. What distinguishes him is a tendency toward deep over-preparation, a discipline he credits for consistently producing results rather than treating as inefficiency.",6.5,7.3,6,6,8.3,1,10,10,10,10,10,10,8,10,-,-,-,-,-,-
IND00345,Arbitration,Lomesh Kiran Nidumuri,"Partner (Head - Disputes, South India)",Bengaluru,Cyril Amarchand Mangaldas,"Lomesh Kiran Nidumuri's RISE instructions scores are his strongest metric, with complexity as the standout indicator. He acted as sole arbitrator in a Singapore-seated, Singapore law-governed SIAC arbitration involving parties from Singapore, Bangladesh, and Japan in a loan agreement dispute, delivering the award himself. His practice handles complex commercial arbitrations across tech, fintech, start-ups, and unicorn disputes, frequently drawing on internal experts across tax, foreign exchange, and real estate. Talent development is also strong within his RISE sophistication scores. He values intellectual curiosity and resilience, runs regular internal sessions, and brings in external speakers on specialist areas including international arbitration drafting. His hands-on approach extends to conducting pleadings, cross-examination, and arguments himself across all matters.",7,6,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND02739,Arbitration,Manmeet Singh,Partner,Delhi,Cyril Amarchand Mangaldas,"Manmeet Singh joined Cyril Amarchand Mangaldas in December 2024 from Saraf and Partners, bringing a practice concentrated in high-value infrastructure and construction disputes for Indian conglomerates, private equity platforms, and energy companies. His RISE instructions scores reflect a preference for complex, big-ticket matters over volume, with six to seven arbitrations a year each typically involving multiple expert workstreams across delay, quantum, and technical disciplines. His RISE sophistication score is also strong, underpinned by two habits that are more systematic than most. His team uses AI daily for document review, bundle summarisation, and cross-examination preparation, and he tracks court judgements closely to monitor the evolution of arbitration and contract law in India, feeding that analysis directly into how he builds legal arguments. What sets him apart is the investment he makes in anticipatory strategy, modelling how opposing counsel will frame a set of facts and how a tribunal is likely to read them before a hearing stage is reached.",7.5,7.3,7,8,8.5,1,10,10,10,10,10,10,10,10,-,-,-,-,-,-
IND08608,Arbitration,Manoj K Singh,Founding Partner,Delhi,S&A Law Offices,"Manoj K Singh's RISE instructions metrics are among the highest in this cohort by volume, built on a client base spanning NHAI, Adani Ports, Larsen & Toubro, GMR Group, Jindal Group, and the Dedicated Freight Corridor Corporation, concentrated in infrastructure and construction arbitration across ports, airports, metro, rail, roads, and mining. AI usage is notable within his RISE sophistication scores. He uses Harvey and Relativity for e-discovery across matters involving two to five million pages of documentation, runs extensive internal training programmes across AI and discovery tools, and believes AI adoption is non-optional for practitioners who want to remain competitive. His differentiating model is end-to-end: damages analysis, technical and legal discovery, witness strategy, and advocacy are all handled internally rather than outsourced, a level of integration he sees as central to how his team delivers on complex mandates.",7.1,7.3,-,-,6.1,1,8,6,6,8,8,6,6,6,-,-,-,-,-,-
IND01508,Arbitration,Naresh Thacker,Counsel,Mumbai,Chambers of Naresh Thacker,"Naresh Thacker established his own chambers in 2025 after 17 years in arbitration, most of them at Economic Laws Practice where he built the disputes practice from a base in regulatory and tax work. Thacker runs 11 to 12 matters a year at the higher end of ticket size, weighted toward technically demanding construction, dredging, and freight corridor disputes alongside shareholder work. His client base spans both direct corporate instructions and law firms that brief him as counsel. What distinguishes him for instructing firms is a fluency in translating legal strategy into communication that reaches client management directly, something he attributes to having spent over a decade operating inside a law firm before moving to independent practice.",5.9,5.3,7,6,8.3,1,10,8,10,10,10,10,10,10,-,-,-,-,-,-
IND00761,Arbitration,Nitesh Jain,Partner,Mumbai,Trilegal,"Nitesh Jain joined Trilegal in 2021 to strengthen the disputes practice. His RISE instructions score is his strongest metric, built on high-value cross-border mandates for clients including Blackstone, Mitsui and Zee Entertainment across seats in Singapore, London, and New York. A standout matter involved winning a SIAC arbitration, and successfully enforcing and implementing a foreign emergency order through to the Indian Court using an indirect mechanism. His RISE sophistication score reflects deliberate investment in talent. He divides cross-examination responsibilities between partners and team members, organised a mock cross-examination trial attended by around 100 general counsel and lawyers, and sends team members to conduct their own advocacy in domestic proceedings to build the instincts that complex international arbitrations require.",7.3,7.3,4,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND00663,Arbitration,Priyanka Shetty,Partner,Mumbai,AZB & Partners,"Priyanka Shetty scores strongly on the RISE instructions metric, reflecting a practice where arbitration routinely generates parallel NCLT proceedings, criminal complaints, and urgent protective applications that most practices are not structured to handle simultaneously. AI usage and her approach to Talent Development are notable within her RISE sophistication metrics. She deploys Harvey systematically, runs a PQE-tiered judgment review programme, and has published on AI in arbitration. A standout matter involved enforcement of a SIAC emergency award resulting in asset freezes, passport suspension, and a custodial sentence, sitting at the outer edge of Indian enforcement proceedings. She is currently advising Pratt & Whitney in a $7.3bn SIAC arbitration testing whether an Indian insolvency moratorium can halt a foreign-seated proceeding.",7.7,7.3,6,9,9.2,2,10,9,9,10,10,10,9,10,-,-,-,-,-,-
IND00589,Arbitration,Rajendra Barot,Senior Partner,Mumbai,AZB & Partners,"Rajendra Barot at AZB & Partners holds the highest RISE instructions score in this rating and receives consistent peer citation across the market. His practice combines a decade of prior corporate M&A experience with disputes work, giving him command of transactional documents and commercial rationale that is relatively unusual in the arbitration bar. He acts for major private equity firms including Westbridge Ventures and BanyanTree Growth Capital. Recent instructions include matters exceeding $1bn in value, with enforcement regularly contested through the Indian courts. That combination of reputational standing, instruction volume, and cross-border complexity places him at the top of this cycle.",6,6,4,7,10,3,10,10,10,10,10,10,10,10,-,-,-,-,-,-
IND00929,Arbitration,Sameer Tapia,Founder & Senior Partner,Mumbai,ALMT Legal,"Founder and senior partner of ALMT Legal, Sameer Tapia's RISE instructions metrics are his strongest, driven by a client base of European, American, and Far Eastern multinationals alongside large Indian conglomerates, most of whom mandate him directly against Tier 1 Indian firms. His reputation score is built less through directory recognition than through an active presence in the business press and a social media profile that keeps him visible well beyond the legal market. The firm's UK roots and seats across London, Singapore, and Dubai reflect a practice that has been cross-border in character from the outset. He uses AI for case law research only, treating it as a probability tool rather than a substitute for commercial judgement. He frames junior development around the distinction between grinders, minders, and finders as a map for career progression.",5.1,4.7,6,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND00197,Arbitration,Sanjeev K Kapoor,Partner,Delhi,Khaitan & Co,"Sanjeev Kapoor at Khaitan & Co is first in this RISE arbitration ranking, with a practice that is both high in volume and unusually wide in sectoral range. Matters include a $6bn bilateral investment treaty claim against India, software development disputes, large-scale energy and steel sector matters, and construction liability cases, with around 60% of his work cross-border. His RISE reputation score is among the strongest in this cohort, built on consistent directory recognition and frequent citation by peers across both domestic and cross-border proceedings, including by practitioners at international firms he regularly faces. He handles advocacy and cross-examination in-house rather than briefing senior counsel, and has structured his team around sector-specific partner specialisation so that technical depth in technology, energy, and infrastructure is backed by dedicated expertise. He currently uses AI for chronologies, document contrast, and initial research.",7.4,8,7,-,8.5,1,10,10,10,10,10,10,10,10,-,-,-,-,-,-
IND00386,Arbitration,Shaneen Parikh,Partner (Head - International Arbitration),Mumbai,Cyril Amarchand Mangaldas,"Shaneen Parikh's RISE instructions metrics are her strongest, driven by a concentrated focus on international arbitration at one of India's largest firms. Her client base sits at the upper end of the market, weighted toward pre and post-M&A disputes, JV breakdowns, and shareholder issues for PE investors. Dual-qualified in India and England and Wales, registered as a foreign lawyer with the SICC, and having served two terms on the SIAC Court, few India-based practitioners can match that institutional standing. She is also a member of the Governing Board of ICAA, and a Vice-Chair of the ICC Commission on Arbitration and ADR. Parikh's RISE reputation metrics are among the strongest in the cohort, with consistent peer recommendations, directory presence, and a strong news and social media profile.",6.1,5.3,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND00788,Arbitration,Shankh Sengupta,Partner & Head of Dispute Practice,Delhi,Trilegal,"Shankh Sengupta has built a practice spanning shareholder and exit disputes, infrastructure and construction arbitrations, insolvency, and white collar defence. Clients include Macquaire, Glenmark, 3i Group, PSP, National High Speed Rail, Doosan Power Systems, and Nayara Energy. AI usage is notable within his RISE sophistication metrics. He uses Lucio and Relativity for document management, particularly in construction arbitrations handling thousands of documents, alongside a firm knowledge management database tracking how arguments have fared in past proceedings. He runs regular check-ins with clients at interlocutory stages to identify settlement windows rather than running matters to final award.",7.4,8,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND00540,Arbitration,Smarika Singh,Partner,Delhi,Shardul Amarchand Mangaldas & Co,"Smarika Singh's RISE instructions metrics reflect a practice concentrated in legally complex mandates, with JV disputes and infrastructure arbitrations forming a consistent and technically demanding base for both domestic and international clients. She maintains personal command of every file, leading proceedings independently. Her talent development sub-indicator is also strong, with associates given live appearances before retired Supreme Court judges at the lower-stakes end. A standout matter is a JV dispute that has expanded into three simultaneous arbitrations under three separate agreements, with the same parties and interlinked breaches requiring a dedicated team to coordinate across all proceedings at once.",7.1,6.7,6,8,8.1,1,10,10,8,10,8,10,10,10,-,-,-,-,-,-
IND01048,Arbitration,Sneha Jaisingh,Partner and Practice Lead,Mumbai,Bharucha & Partners,"Sneha Jaisingh's RISE instructions metrics are among the highest by volume in this cohort, built on a consistently busy docket across commercial, infrastructure, and government-facing mandates. Ticket sizes sit at the mid-market level, but instruction frequency places her above most peers on volume. Clients include Adani Enterprises, Hindustan Petroleum Corporation, Larsen & Toubro, Vedanta, and Vodafone Idea. Her talent development sub-indicator is strong. Juniors run weekly round-ups presenting the latest decisions to the full team and are given low-value court appearances to build advocacy confidence before moving to more complex mandates. She argues her own mandates rather than briefing external counsel. A standout matter is the Prysmian LCIA arbitration, where the Supreme Court delivered one of India's first detailed judgments on the scope of judicial interference with foreign arbitral awards.",7.7,6.7,9,8,10,3,10,10,10,10,10,10,10,10,-,-,-,-,-,-
IND08610,Arbitration,Sooraj Sharma,Founding Partner,Delhi,Clavius Legal,"Sooraj Sharma is a disputes lawyer based in Delhi and founding partner of Clavius Legal. His practice leans towards international arbitration, with a proportion dedicated to domestic arbitration and strategic advisory work. His highest RISE metric is instructions. He accumulated a notable number of international instructions over the research period, reflecting the firm's deliberate positioning at the cross-border end of the market. He acts for Indian and foreign corporates, sovereign clients, and high-net-worth individuals in complex cross-border disputes and investigations. Reputation scores are more limited, reflecting the boutique's lower market visibility relative to full-service firms. Sharma has onboarded multiple AI tools and is actively evaluating legal-specific platforms.",6.8,6.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND02569,Arbitration,Suvigya Awasthy,Partner,Delhi,PSL Advocates & Solicitors,"Suvigya Awasthy's RISE instructions metrics reflect a busy mid-ticket practice at a boutique, with volume and complexity ratings that hold up against larger-firm peers. His client base is anchored by government-linked infrastructure bodies including the Dedicated Freight Corridor and the National High Speed Railway Corporation, with work spanning construction, energy, infrastructure, gaming, and paper mills. A standout matter is the successful challenge of an ICC award before the SICC on grounds of plagiarism, a globally cited decision that sits above the complexity level his ticket size would typically suggest. He conducts his own advocacy before tribunals and the Supreme Court rather than briefing external counsel, keeping costs contained in a way that mid-market clients value.",7.7,7.3,8,8,7,1,8,8,8,8,8,8,8,8,-,-,-,-,-,-
IND00801,Arbitration,Tine Abraham,Partner,Delhi,Trilegal,"Tine Abraham specialises in infrastructure and concession arbitrations at Trilegal, with a practice spanning dams, roads, airports, renewable energy projects, shareholder disputes and statutory arbitrations arising from market intermediary obligations. Her RISE instructions score is one of her strongest metrics, built on a high-quality client base including India RF, Quest Global group and WeWork India. Her sophistication score reflects a systematic approach to technology. Trilegal's custom-built AI platform is used across her practice for document classification, chronology building, evidence categorisation, and translation of vernacular materials into English, an integration that most practitioners have not yet adopted. A recent standout matter involved a concession dispute with the Government of Gujarat over ferry operations, which ran to approximately 60 days of cross-examination before reaching closing arguments.",7.5,8.7,6,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND00602,Arbitration,Vijayendra Pratap Singh,Senior Partner,Delhi,AZB & Partners,"Vijayendra Pratap Singh's most notable RISE indicator is reputation. He is consistently cited by peers across the Indian disputes market, setting him apart in this cohort. His RISE instructions scores are also strong, reflecting sustained involvement in high-value arbitration matters. He has acted on significant mandates, including representing PS Toll Road in a high-value EPC dispute against NHAI, securing interim relief to protect toll revenues and successfully defending that position before the Delhi High Court. His client base includes major international technology companies and large domestic conglomerates. Singh also holds positions on the Court of SIAC, the Oman Arbitration Centre Executive Committee and the LCIA Asia User Council. He teaches at two universities and runs internal training programmes. He describes his approach as a win or learn philosophy.",7.7,7.3,8,8,8.1,1,10,10,10,8,10,10,8,10,-,-,-,-,-,-
IND08607,Arbitration,Vyapak Desai,Counsel,Mumbai,Vyapak Desai Law Chambers,"Vyapak Desai established his own chambers in August 2025 after nearly 20 years at Nishith Desai Associates, where he built the arbitration practice from scratch into one of the firm's most significant verticals. His RISE reputation score is among the strongest in this cohort. He sits on the board of the Mumbai International Arbitration Centre and acts as Vice President of Arbitration of India, is consistently cited across legal directories, and carries a peer profile that few independent counsel in India can match. His instruction base reflects a practice built from the outset around non-Indian clients and non-Indian law, having handled arbitrations under English, Qatari, Finnish, Singaporean, and BIT regimes. Recent matters include a multibillion-dollar investment treaty claim by a Malaysian telecoms company against the Government of India and a Singapore-seated acquisition dispute against one of the world's largest cryptocurrency platforms. A transactional background in M&A and capital markets gives him an analytical lens that shapes how he approaches complex commercial disputes.",7.3,7.3,8,7,9.3,2,10,10,10,10,9,9,10,10,-,-,-,-,-,-
IND02631,Arbitration,Gunita Pahwa,Joint Managing Partner,Delhi,S&A Law Offices,"Gunita Pahwa's RISE instructions scores are her strongest metric, built on a client base concentrated in national ports and state and regional governments. This produces consistently large-ticket mandates and repeat instructions that few infrastructure practitioners outside the top-tier firms can match. Reputation metrics are supported less by directory recognition than by a strong social media presence and regular news coverage, reflecting a market profile built on visibility as much as peer citation. Her practice spans ports, roads, and airports with a dedicated focus on public sector undertakings and government contracts, extending to international proceedings at SIAC, ICC Paris, and Nepal.",6,6,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND02534,Capital Markets - Debt,Aditya Bhargava,Partner,Mumbai,Trilegal,"Sitting in 9th position for the 2026 RISE debt capital markets ranking, Aditya Bhargava's practice scores most highly for its sophistication, with standout RISE metrics in talent development and AI usage. According to Bhargava, his practice generates 200,000 to 300,000 documents a year, and his team is building an in-house document management system with natural language search across historical knowledge to identify precedents and generate draft language. His team model is deliberately low-leverage and long-tenured, with counsels and senior associates remaining for multiple years, supported by mentoring and a culture of open debate. Moreover, clients enjoy working with him as shown by his high scores in RISE experience, notably for commerciality, network and strategy skills.",8.5,9.3,6,9,9.8,6,9.6,9.6,10,9.6,9.6,10,10,9.6,-,-,-,-,-,-
IND00120,Capital Markets - Debt,Manisha Shroff,Partner,Mumbai,Khaitan & Co,"Manisha Shroff at Khaitan & Co receives more peer recommendations than any other practitioner in the DCM list and her RISE reputation scores are among the strongest in this year's rating. Her media presence and social media following reflect a market profile built over consistent years at the top end of the market. She leads one of the few purely DCM focused practices in India, a specialism that is genuinely rare given the ECM orientation of most Indian capital markets work. Shroff's instruction record is market leading on volume and value of corporate bond issuances, spanning multiple Vedanta bonds, JSW Steel, airport and infrastructure bonds, and NBFC offshore debt, a sector that has grown significantly as companies seek cheaper international funding. Axis Bank programme updates and recurring infrastructure mandates round out a practice that operates across the full range of Indian corporate debt.",7.1,7.3,-,-,9.4,3,8.6,9.4,9.4,10,10,8.6,8.6,9.4,-,-,-,-,-,-
IND08612,Capital Markets - Debt,Niloufer Lam,Founding Partner,Mumbai,NL Legal,"With a high RISE score in instructions, Niloufer Lam's practice consists of a  high number of complex, medium-to-big ticket mandates. Lam's RISE reputation score demonstrates that she is well perceived across legal directories and in the media, but receives less recognition from her peers. Her client base centres on large public sector and infrastructure-linked issuers in power and energy, including Power Finance Corporation, REC, Power Grid, Indian Oil, and Hindustan Petroleum, alongside Tata and Axis entities. Power Finance Corporation's $8bn GMTN programme and REC's first market-linked deep-discount issuance, a first-of-its-kind structure in India, are the clearest illustrations of where her practice operates. A background spanning multiple jurisdictions and investment banking informs how she translates complex Indian regulatory issues for international clients.",4.5,2.7,5,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND02940,Capital Markets - Debt,Priyanka Kumar,Partner,Mumbai,TT&A,"Priyanka Kumar at TT&A has high RISE instructions and reputation scores, reflecting a strong client base, volume, and complexity of work. Her client base is anchored by major global banks including JPMorgan, Citi, Barclays, Deutsche Bank, HSBC, and Standard Chartered, alongside significant Indian financial institutions. Her practice sits at the intersection of regulatory advisory and transactional execution, with close involvement throughout, an approach she says reduces the friction that delays cross-border deals. Her instruction record reflects a broader market trend of Indian companies accessing international bond markets across new sectors, with the complexity in her work driven by first-of-their-kind structures that align domestic legal requirements with international capital market standards.",5.9,4.7,6,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND02962,Capital Markets - Debt,Rahul Gulati,Partner,Mumbai,TT&A,"Rahul Gulati at TT&A's scores most strongly on the RISE instructions metric, performing exceptionally well for his client base, volume and value of work. Gulati's scores reflect a DCM practice that operates consistently at the complex end of the market. His instruction record includes India's first dollar bond asset-backed securitisation for Sriram Finance, the first international bond issuance by an Indian road company, and Biocon's debut pharmaceutical bond transactions, each requiring new structuring techniques that aligned Indian legal frameworks with international capital markets standards. His approach combines regulatory advisory with transactional execution, with both partners closely involved throughout and regulatory issues identified early, a method he says keeps cross-border deals moving where coordination across multiple stakeholders would otherwise create delays.",5.9,4.7,6,7,8.5,1,10,10,10,10,10,10,10,10,-,-,-,-,-,-
IND02750,Capital Markets - Debt,Satadru Goswami,Partner,Mumbai,Saraf and Partners,"Sophistication is Satadru Goswami's strongest RISE score, with talent development as the standout metric. He leads a twelve-lawyer team with a deliberately flat structure, rejecting the traditional pyramid model in favour of close partner involvement on every transaction and early responsibility for associates. His practice is structuring-led, advising on offshore and domestic bond issuances for major infrastructure and real asset platforms including ASK Group, Edelweiss Alternative Asset Advisors (EAAA), Adani group entities, and Government of Maharashtra instrumentalities, as well as private credit and structured debt products across infrastructure and non-infrastructure sectors, including investments through AIF and InvIT platforms. Goswami maintains detailed precedent databases, integrates lessons from banking and project finance into capital markets mandates, and his mandates span a range of fee arrangements depending on the nature and structure of the transaction.",7.5,7.3,7,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND00536,Capital Markets - Debt,Shubhangi Garg,Partner,Delhi,Shardul Amarchand Mangaldas & Co,"Shubhangi Garg scores most highly across RISE metrics instructions and sophistication, demonstrating advanced AI usage and attention to talent development. Her team uses AI in a targeted rather than wholesale way, applying it to refine contractual provisions, translate complex clauses for clients, and run quick diligence checks, with the main benefit being time compression. Her practice is split across REITs and InvITs, corporate and performing credit, acquisition finance, and international dollar bond mandates in financial services and renewables. Two characteristics she is deliberate about are: a solution-driven negotiation style, and a team culture where stress comes from client work rather than internal dynamics.",8.1,8.7,7,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND02109,Capital Markets - Debt,Uttara M. Kolhatkar,Partner,Mumbai,JSA Advocates & Solicitors,"Uttara M Kolhatkar at JSA Advocates & Solicitors, receives the second highest RISE reputation score, with peer recommendations and media profile both performing well within the RISE metrics. In instructions, Kolhatkar's work value and client roster of major international banks, leading issuers and other arrangers stand out. Her practice focuses majorly on offshore bonds, covering Rule 144A and Regulation S standalone issuances across vanilla EMTN and GMTN programmes, green bonds, sustainability-linked bonds, Samurai bonds, Formosa bonds, and orphan SPV structures, one of the more technically demanding spheres of Indian debt capital markets. JSA is among very few top-tier Indian firms active in this space, and Kolhatkar runs that capability alongside a single senior partner, which gives the practice an unusual concentration of expertise at the top.",5.3,4.7,5,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
